month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,O3_target
8.0,23.0,6.0,0.01,79.29,9.92,20.06,1.98,-0.3,-1.63,3.35
8.0,23.0,7.0,1.62,75.82,11.7,19.71,2.02,0.06,-0.88,3.57
8.0,23.0,8.0,3.24,72.35,11.7,19.37,2.06,0.41,-0.14,3.62
8.0,23.0,9.0,4.85,68.88,10.43,19.03,2.1,0.77,0.6,3.35
8.0,23.0,10.0,5.99,65.48,9.75,19.4,1.5,0.79,0.35,3.55
8.0,23.0,11.0,7.14,62.08,9.61,19.77,0.91,0.81,0.11,3.43
8.0,23.0,12.0,8.28,58.68,10.44,20.14,0.31,0.83,-0.14,3.58
8.0,23.0,13.0,5.91,66.48,12.39,20.32,-0.01,0.43,0.2,3.45
8.0,23.0,14.0,3.54,74.28,11.55,20.51,-0.32,0.03,0.53,3.5
8.0,23.0,15.0,1.16,82.08,11.32,20.69,-0.64,-0.37,0.86,3.35
8.0,23.0,16.0,0.87,88.97,11.07,20.69,-0.22,-0.38,-0.02,3.55
8.0,23.0,17.0,0.57,95.85,10.95,20.69,0.21,-0.39,-0.9,3.33
8.0,23.0,18.0,0.28,102.74,10.59,20.69,0.63,-0.41,-1.78,3.33
8.0,23.0,19.0,15.35,84.02,9.26,20.66,0.91,-0.2,-1.58,3.33
8.0,23.0,20.0,30.43,65.29,9.19,20.63,1.18,0.01,-1.38,3.2
8.0,23.0,21.0,45.51,46.57,8.61,20.6,1.45,0.21,-1.18,3.67
8.0,23.0,22.0,39.28,48.62,7.09,19.66,1.2,0.42,-0.72,3.3
8.0,23.0,23.0,33.05,50.66,6.2,18.71,0.95,0.63,-0.26,3.35
1.0,12.0,0.0,2.59,124.28,16.95,12.35,-0.49,-2.29,-0.47,4.32
1.0,12.0,1.0,1.82,132.85,17.71,11.53,-0.06,-2.35,-0.43,4.5
1.0,12.0,2.0,1.05,141.42,20.99,10.71,0.38,-2.42,-0.39,4.38
1.0,12.0,3.0,0.28,149.99,23.29,9.9,0.81,-2.48,-0.35,4.67
1.0,12.0,4.0,0.51,142.48,21.88,9.92,1.15,-2.0,-0.53,4.58
1.0,12.0,5.0,0.74,134.98,22.41,9.95,1.49,-1.53,-0.72,5.35
1.0,12.0,6.0,0.97,127.47,22.45,9.97,1.82,-1.05,-0.9,5.83
1.0,12.0,7.0,5.38,116.79,23.64,9.82,1.86,-0.93,-0.8,7.82
1.0,12.0,8.0,9.79,106.12,23.58,9.67,1.9,-0.81,-0.69,10.32
1.0,12.0,9.0,14.2,95.44,26.6,9.53,1.94,-0.69,-0.59,11.33
1.0,12.0,10.0,9.6,103.56,25.48,9.67,1.18,-1.24,-0.53,12.05
1.0,12.0,11.0,5.01,111.68,22.33,9.82,0.41,-1.79,-0.46,11.18
1.0,12.0,12.0,0.42,119.8,23.65,9.96,-0.36,-2.34,-0.4,8.3
1.0,12.0,13.0,9.1,108.0,22.67,10.35,0.17,-2.31,-0.73,4.6
1.0,12.0,14.0,17.79,96.2,21.54,10.75,0.7,-2.29,-1.06,4.67
1.0,12.0,15.0,26.47,84.4,22.32,11.14,1.23,-2.26,-1.39,4.45
1.0,12.0,16.0,22.94,98.52,21.03,11.08,1.43,-1.65,-1.19,4.2
1.0,12.0,17.0,19.41,112.63,21.0,11.01,1.64,-1.04,-0.99,4.53
1.0,12.0,18.0,15.87,126.74,24.09,10.95,1.84,-0.44,-0.78,4.35
1.0,12.0,19.0,18.43,116.92,21.89,11.05,1.9,-0.59,-0.79,4.45
1.0,12.0,20.0,20.99,107.1,22.5,11.16,1.96,-0.75,-0.8,4.1
1.0,12.0,21.0,23.55,97.28,20.7,11.26,2.02,-0.9,-0.81,4.73
1.0,12.0,22.0,21.4,100.48,20.97,11.19,2.06,-0.88,-0.9,4.38
1.0,12.0,23.0,19.25,103.68,19.76,11.13,2.1,-0.86,-0.99,4.35
12.0,13.0,0.0,99.43,51.72,41.32,6.17,1.19,0.01,-1.78,12.85
12.0,13.0,1.0,106.92,56.64,39.81,6.02,0.86,0.18,-1.92,13.45
12.0,13.0,2.0,114.4,61.56,41.36,5.88,0.54,0.36,-2.07,13.73
12.0,13.0,3.0,121.88,66.47,39.51,5.73,0.21,0.53,-2.21,15.38
12.0,13.0,4.0,101.11,69.99,37.78,5.92,0.04,0.8,-2.25,16.75
12.0,13.0,5.0,80.33,73.5,38.2,6.11,-0.14,1.07,-2.29,31.55
12.0,13.0,6.0,59.56,77.01,37.9,6.3,-0.31,1.34,-2.33,44.23
12.0,13.0,7.0,62.4,66.37,37.83,7.43,0.05,0.59,-2.42,48.88
12.0,13.0,8.0,65.24,55.73,39.17,8.55,0.42,-0.16,-2.51,59.0
12.0,13.0,9.0,68.09,45.1,41.31,9.68,0.79,-0.9,-2.61,58.32
12.0,13.0,10.0,64.15,43.51,41.37,9.94,0.3,-0.63,-2.31,55.9
12.0,13.0,11.0,60.22,41.93,41.36,10.2,-0.19,-0.36,-2.01,53.83
12.0,13.0,12.0,56.29,40.35,41.48,10.46,-0.68,-0.09,-1.72,46.23
12.0,13.0,13.0,48.46,47.52,43.55,10.58,-0.12,-0.28,-1.84,32.2
12.0,13.0,14.0,40.63,54.7,42.29,10.71,0.44,-0.47,-1.96,22.82
12.0,13.0,15.0,32.79,61.87,42.6,10.83,1.0,-0.66,-2.08,16.88
12.0,13.0,16.0,40.08,55.55,38.16,10.98,1.23,-0.55,-2.4,16.95
12.0,13.0,17.0,47.36,49.23,40.08,11.13,1.45,-0.45,-2.71,15.38
12.0,13.0,18.0,54.65,42.91,39.24,11.28,1.67,-0.34,-3.03,11.25
12.0,13.0,19.0,62.17,38.64,40.26,10.61,2.24,-0.49,-2.78,10.32
12.0,13.0,20.0,69.7,34.38,36.9,9.94,2.81,-0.64,-2.53,13.1
12.0,13.0,21.0,77.23,30.11,39.12,9.27,3.38,-0.79,-2.28,18.05
12.0,13.0,22.0,77.23,36.48,38.11,8.71,3.47,-0.85,-1.84,24.57
12.0,13.0,23.0,77.24,42.85,39.49,8.16,3.55,-0.91,-1.39,29.93
9.0,29.0,0.0,27.03,43.54,27.71,10.26,-1.19,-0.41,2.46,34.25
9.0,29.0,1.0,31.18,41.19,24.16,9.68,-1.05,-0.07,1.78,19.2
9.0,29.0,2.0,35.34,38.83,24.05,9.1,-0.92,0.27,1.09,23.45
9.0,29.0,3.0,39.5,36.47,22.82,8.52,-0.78,0.61,0.41,16.15
9.0,29.0,4.0,39.7,37.35,24.84,7.8,0.02,0.22,0.82,24.5
9.0,29.0,5.0,39.9,38.23,25.31,7.09,0.81,-0.16,1.23,33.3
9.0,29.0,6.0,40.09,39.11,26.03,6.37,1.61,-0.54,1.63,34.6
9.0,29.0,7.0,41.08,37.38,24.98,7.03,0.53,-0.39,2.04,53.5
9.0,29.0,8.0,42.06,35.64,24.83,7.69,-0.54,-0.23,2.45,43.45
9.0,29.0,9.0,43.04,33.91,25.52,8.34,-1.62,-0.07,2.86,49.08
9.0,29.0,10.0,42.64,37.53,26.87,9.53,-1.96,0.69,2.25,57.77
9.0,29.0,11.0,42.24,41.16,26.96,10.73,-2.31,1.45,1.64,48.85
9.0,29.0,12.0,41.83,44.78,28.76,11.92,-2.66,2.21,1.04,36.62
9.0,29.0,13.0,52.31,35.72,29.09,10.68,-3.26,1.27,1.5,32.08
9.0,29.0,14.0,62.79,26.66,29.72,9.43,-3.86,0.32,1.97,50.62
9.0,29.0,15.0,73.27,17.6,30.01,8.19,-4.46,-0.62,2.43,11.98
9.0,29.0,16.0,63.05,20.96,29.43,8.47,-3.65,-0.24,2.61,10.3
9.0,29.0,17.0,52.82,24.32,29.31,8.76,-2.84,0.14,2.78,10.95
9.0,29.0,18.0,42.6,27.68,28.95,9.04,-2.04,0.53,2.96,9.68
9.0,29.0,19.0,42.06,30.3,28.94,8.6,-2.27,0.47,1.84,11.42
9.0,29.0,20.0,41.52,32.92,28.87,8.15,-2.49,0.42,0.73,22.4
9.0,29.0,21.0,40.98,35.54,28.83,7.71,-2.72,0.36,-0.39,18.7
9.0,29.0,22.0,46.64,35.9,29.44,7.53,-2.32,0.51,0.12,16.35
9.0,29.0,23.0,52.31,36.25,27.07,7.35,-1.92,0.65,0.64,13.02
1.0,10.0,0.0,40.96,74.81,15.79,16.77,-2.53,1.8,2.82,2.02
1.0,10.0,1.0,36.76,68.13,18.98,16.49,-1.47,1.84,1.99,1.98
1.0,10.0,2.0,32.56,61.45,17.87,16.22,-0.4,1.88,1.16,2.77
1.0,10.0,3.0,28.35,54.78,15.08,15.94,0.66,1.92,0.33,2.97
1.0,10.0,4.0,22.56,63.1,12.46,16.21,-0.27,1.02,0.42,3.05
1.0,10.0,5.0,16.77,71.42,13.8,16.48,-1.2,0.12,0.51,3.02
1.0,10.0,6.0,10.98,79.74,13.66,16.76,-2.13,-0.78,0.6,4.45
1.0,10.0,7.0,7.76,94.9,15.21,16.74,-2.25,-0.61,0.62,6.32
1.0,10.0,8.0,4.55,110.06,15.46,16.72,-2.37,-0.45,0.63,10.25
1.0,10.0,9.0,1.34,125.22,16.57,16.7,-2.48,-0.28,0.64,14.8
1.0,10.0,10.0,11.44,113.02,20.0,16.34,-2.29,0.18,0.86,17.55
1.0,10.0,11.0,21.54,100.82,19.65,15.98,-2.09,0.63,1.08,18.6
1.0,10.0,12.0,31.65,88.62,18.71,15.62,-1.9,1.09,1.29,13.85
1.0,10.0,13.0,32.59,91.09,20.18,15.91,-1.18,0.21,1.76,4.35
1.0,10.0,14.0,33.53,93.55,18.45,16.21,-0.46,-0.67,2.22,2.0
1.0,10.0,15.0,34.47,96.01,16.78,16.5,0.25,-1.55,2.69,2.08
1.0,10.0,16.0,31.49,112.23,17.27,16.83,0.76,-1.44,2.43,1.82
1.0,10.0,17.0,28.52,128.45,18.82,17.15,1.27,-1.32,2.17,1.85
1.0,10.0,18.0,25.54,144.67,18.93,17.47,1.77,-1.21,1.91,1.95
1.0,10.0,19.0,21.21,139.81,20.2,17.82,1.29,-1.4,1.37,2.1
1.0,10.0,20.0,16.88,134.95,19.26,18.16,0.82,-1.59,0.83,2.1
1.0,10.0,21.0,12.55,130.09,20.65,18.51,0.34,-1.78,0.28,4.47
1.0,10.0,22.0,8.5,143.41,21.64,18.8,0.4,-1.75,0.47,3.75
1.0,10.0,23.0,4.44,156.73,22.49,19.1,0.47,-1.72,0.66,3.85
9.0,28.0,0.0,48.92,84.47,21.25,14.03,2.18,-0.59,-0.7,4.65
9.0,28.0,1.0,43.95,78.76,22.39,14.02,1.84,-0.86,-0.6,4.43
9.0,28.0,2.0,38.97,73.05,20.34,14.0,1.5,-1.14,-0.5,4.7
9.0,28.0,3.0,33.99,67.34,21.66,13.99,1.16,-1.42,-0.41,4.28
9.0,28.0,4.0,33.99,69.55,21.18,13.86,0.92,-1.49,-1.08,4.47
9.0,28.0,5.0,33.99,71.76,23.19,13.73,0.68,-1.56,-1.76,4.55
9.0,28.0,6.0,33.99,73.97,26.4,13.6,0.44,-1.63,-2.44,4.5
9.0,28.0,7.0,30.72,74.03,28.2,13.37,0.92,-1.23,-1.85,4.62
9.0,28.0,8.0,27.44,74.1,26.18,13.14,1.4,-0.84,-1.25,4.65
9.0,28.0,9.0,24.17,74.16,26.91,12.9,1.88,-0.44,-0.66,4.6
9.0,28.0,10.0,25.55,78.73,26.6,12.79,1.83,-0.76,-0.68,4.62
9.0,28.0,11.0,26.93,83.29,26.23,12.69,1.79,-1.09,-0.69,4.38
9.0,28.0,12.0,28.31,87.85,25.99,12.58,1.75,-1.41,-0.71,4.65
9.0,28.0,13.0,27.86,84.41,27.13,12.98,1.93,-1.02,-0.81,4.82
9.0,28.0,14.0,27.42,80.96,26.88,13.39,2.11,-0.64,-0.91,4.4
9.0,28.0,15.0,26.98,77.52,24.67,13.79,2.29,-0.25,-1.01,4.6
9.0,28.0,16.0,20.09,85.59,23.08,13.0,1.75,-0.65,-1.19,4.4
9.0,28.0,17.0,13.19,93.66,25.01,12.21,1.21,-1.04,-1.37,4.47
9.0,28.0,18.0,6.3,101.74,24.57,11.41,0.67,-1.43,-1.55,4.35
9.0,28.0,19.0,15.47,95.65,25.99,11.42,0.68,-1.45,-1.29,4.33
9.0,28.0,20.0,24.65,89.56,25.56,11.42,0.69,-1.47,-1.03,4.7
9.0,28.0,21.0,33.82,83.47,22.49,11.43,0.7,-1.49,-0.77,4.3
9.0,28.0,22.0,33.5,81.27,24.2,11.25,0.77,-1.49,-0.45,4.62
9.0,28.0,23.0,33.18,79.08,24.47,11.07,0.83,-1.49,-0.13,4.28
10.0,2.0,0.0,7.96,101.95,28.34,13.68,-3.92,0.28,0.94,12.98
10.0,2.0,1.0,16.63,89.41,26.93,13.82,-3.79,0.06,0.99,12.27
10.0,2.0,2.0,25.3,76.87,27.01,13.96,-3.66,-0.17,1.03,14.07
10.0,2.0,3.0,33.97,64.33,27.28,14.11,-3.53,-0.39,1.08,16.7
10.0,2.0,4.0,33.58,60.62,25.95,14.36,-3.36,-0.11,1.45,25.97
10.0,2.0,10.0,24.66,62.41,26.21,11.76,-2.2,1.19,1.83,77.8
10.0,2.0,11.0,26.49,54.47,25.62,11.41,-2.4,1.23,1.47,65.9
10.0,2.0,12.0,28.32,46.53,25.65,11.06,-2.6,1.26,1.12,59.67
10.0,2.0,13.0,29.84,47.55,26.61,11.03,-1.86,1.36,1.49,30.17
10.0,2.0,14.0,31.36,48.58,26.56,11.01,-1.11,1.47,1.86,17.3
10.0,2.0,15.0,32.88,49.6,26.45,10.98,-0.36,1.58,2.23,16.05
10.0,2.0,16.0,40.69,41.65,25.83,11.75,-0.47,1.2,1.82,15.95
10.0,2.0,17.0,48.51,33.71,26.23,12.53,-0.57,0.83,1.42,15.88
10.0,2.0,18.0,56.32,25.77,26.71,13.31,-0.67,0.45,1.02,17.4
10.0,2.0,19.0,38.98,41.47,26.71,13.86,-0.89,0.39,1.1,17.6
10.0,2.0,20.0,21.64,57.18,25.82,14.42,-1.1,0.32,1.17,24.7
10.0,2.0,21.0,4.3,72.89,26.58,14.98,-1.32,0.26,1.25,22.12
10.0,2.0,22.0,27.96,52.55,26.31,14.88,-1.55,0.38,1.87,26.9
10.0,2.0,23.0,51.63,32.22,25.6,14.79,-1.79,0.51,2.49,20.0
6.0,3.0,0.0,23.65,92.14,27.03,19.85,-0.49,1.62,0.63,18.12
6.0,3.0,1.0,32.67,91.77,28.33,19.83,-0.79,1.61,0.69,17.8
6.0,3.0,2.0,41.69,91.41,30.74,19.81,-1.08,1.6,0.74,20.5
6.0,3.0,3.0,50.71,91.04,30.79,19.79,-1.38,1.59,0.8,45.98
6.0,3.0,4.0,49.71,81.45,29.47,20.02,-1.27,1.0,0.9,51.62
6.0,3.0,5.0,48.71,71.86,29.63,20.24,-1.17,0.4,1.01,73.7
6.0,3.0,12.0,9.33,106.36,29.04,18.28,-1.97,0.25,0.75,77.62
6.0,3.0,13.0,17.85,94.97,28.53,18.69,-0.95,-0.34,0.83,70.0
6.0,3.0,14.0,26.37,83.59,27.69,19.09,0.06,-0.93,0.92,56.88
6.0,3.0,15.0,34.89,72.21,28.93,19.49,1.07,-1.52,1.0,39.07
6.0,3.0,16.0,38.74,68.52,30.02,18.57,1.8,-1.62,1.29,28.43
6.0,3.0,17.0,42.59,64.83,29.27,17.66,2.52,-1.72,1.58,13.72
6.0,3.0,18.0,46.45,61.14,29.27,16.75,3.25,-1.82,1.87,10.6
6.0,3.0,19.0,45.08,70.47,28.8,16.52,2.27,-1.72,1.72,10.45
6.0,3.0,20.0,43.72,79.8,28.41,16.29,1.29,-1.62,1.57,9.9
6.0,3.0,21.0,42.35,89.14,29.92,16.06,0.31,-1.53,1.41,10.45
6.0,3.0,22.0,38.91,91.79,29.83,15.93,1.07,-1.12,1.22,11.5
6.0,3.0,23.0,35.47,94.44,29.01,15.8,1.83,-0.71,1.03,35.58
10.0,27.0,0.0,31.3,82.4,26.41,5.77,1.76,-1.57,2.11,4.97
10.0,27.0,1.0,37.1,75.42,27.36,5.97,1.97,-1.5,2.02,4.5
10.0,27.0,2.0,42.91,68.44,27.9,6.18,2.19,-1.44,1.94,4.4
10.0,27.0,3.0,48.71,61.46,26.67,6.38,2.41,-1.37,1.85,3.65
10.0,27.0,4.0,47.45,64.04,25.25,6.42,2.39,-1.1,1.91,2.83
10.0,27.0,5.0,46.19,66.62,23.85,6.47,2.37,-0.83,1.97,4.07
10.0,27.0,6.0,44.93,69.2,23.13,6.51,2.35,-0.56,2.03,15.98
10.0,27.0,7.0,36.22,77.07,25.66,6.36,1.81,-0.9,2.32,24.23
10.0,27.0,8.0,27.51,84.94,24.65,6.21,1.28,-1.24,2.61,30.9
10.0,27.0,9.0,18.79,92.81,24.96,6.06,0.74,-1.58,2.9,32.47
10.0,27.0,10.0,13.55,134.54,24.36,6.19,1.04,-1.7,2.52,26.98
10.0,27.0,17.0,19.27,151.15,29.3,6.34,-2.34,-0.48,1.25,2.8
10.0,27.0,18.0,22.86,109.09,27.94,6.34,-2.5,-0.14,1.19,3.32
10.0,27.0,19.0,42.76,93.89,27.7,6.69,-2.75,-0.29,1.38,4.35
10.0,27.0,20.0,62.66,78.68,28.1,7.04,-2.99,-0.44,1.58,4.2
10.0,27.0,21.0,82.55,63.48,29.02,7.39,-3.23,-0.58,1.77,3.9
10.0,27.0,22.0,60.43,71.05,28.91,7.59,-1.5,-1.1,1.31,4.85
10.0,27.0,23.0,38.3,78.61,29.94,7.79,0.24,-1.61,0.86,4.85
4.0,7.0,0.0,104.49,10.58,24.15,20.65,-2.73,-0.73,-0.17,41.05
4.0,7.0,1.0,101.06,10.78,22.6,20.53,-0.74,-0.87,-0.68,35.9
4.0,7.0,2.0,97.63,10.99,23.28,20.4,1.26,-1.02,-1.19,38.75
4.0,7.0,3.0,94.2,11.2,22.25,20.27,3.26,-1.17,-1.71,44.33
4.0,7.0,4.0,109.57,11.01,21.78,20.44,3.39,-0.93,-1.59,63.6
4.0,7.0,13.0,121.77,12.48,17.82,20.6,4.44,-0.89,-0.24,70.47
4.0,7.0,14.0,136.42,12.99,17.95,20.53,3.84,-1.05,-0.3,30.8
4.0,7.0,15.0,151.08,13.49,18.15,20.47,3.24,-1.2,-0.36,8.65
4.0,7.0,16.0,163.77,13.24,19.15,20.93,3.3,-1.43,-0.65,29.1
4.0,7.0,17.0,176.46,12.99,19.88,21.38,3.37,-1.66,-0.94,48.7
4.0,7.0,18.0,189.14,12.74,19.65,21.84,3.43,-1.89,-1.23,33.18
4.0,7.0,19.0,166.65,13.56,20.83,21.48,3.35,-1.84,-1.26,39.48
4.0,7.0,20.0,144.15,14.38,20.47,21.12,3.28,-1.79,-1.29,63.0
4.0,7.0,21.0,121.66,15.2,18.97,20.76,3.2,-1.74,-1.32,53.15
4.0,7.0,22.0,127.77,15.85,19.65,20.87,3.11,-1.44,-1.76,46.77
4.0,7.0,23.0,133.89,16.49,19.26,20.98,3.01,-1.14,-2.2,41.77
8.0,20.0,0.0,117.27,11.08,32.01,13.01,-0.66,-0.24,-1.11,22.45
8.0,20.0,1.0,121.48,10.95,31.98,13.33,-0.71,-0.19,-1.08,17.4
8.0,20.0,2.0,125.68,10.83,31.68,13.64,-0.76,-0.15,-1.05,14.83
8.0,20.0,3.0,129.89,10.7,31.68,13.95,-0.81,-0.11,-1.02,20.5
8.0,20.0,4.0,130.97,11.12,31.53,14.05,-1.16,0.13,-1.37,29.7
